Bjelovarsko.bilogorska,Brodsko.posavska,Dubrovačko.neretvanska,Grad.Zagreb,Istarska,Karlovačka,Koprivničko.križevačka,Krapinsko.zagorska,Ličko.senjska,Međimurska,Osječko.baranjska,Požeško.slavonska,Primorsko.goranska,Šibensko.kninska,Sisačko.moslavačka,Splitsko.dalmatinska,Varaždinska,Virovitičko.podravska,Vukovarsko.srijemska,Zadarska,Zagrebačka,Hrvatska,Datum
0,0,0,36,1,0,0,4,0,0,0,0,3,2,1,0,1,0,0,0,0,48,2020-03-21
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020-03-22
1,1,5,56,8,4,0,10,0,1,12,0,7,9,1,10,0,0,0,1,1,127,2020-03-23
0,0,2,25,3,2,0,5,0,1,6,0,6,0,0,6,0,0,1,3,0,60,2020-03-24
0,0,1,23,3,0,0,3,0,0,6,0,1,0,2,11,3,0,0,0,0,53,2020-03-25
1,1,1,43,9,0,0,3,0,0,4,0,0,0,6,10,4,0,1,10,-3,90,2020-03-26
2,0,5,18,11,0,1,0,0,0,4,0,3,7,0,17,1,0,1,2,0,72,2020-03-27
0,0,1,18,5,2,1,10,0,0,3,0,0,1,0,0,0,0,4,0,5,50,2020-03-28
0,1,1,28,3,0,0,5,0,0,4,0,5,0,1,27,2,0,4,7,-5,83,2020-03-29
0,4,2,30,0,0,1,5,0,0,11,1,3,1,1,8,0,1,2,7,0,77,2020-03-30
2,3,11,-93,3,0,8,6,1,0,6,2,14,3,-1,37,5,3,0,4,82,96,2020-03-31
0,0,0,10,2,0,0,0,0,0,5,0,2,2,1,10,1,0,0,9,6,48,2020-04-01
1,2,12,19,0,1,4,4,0,0,3,0,1,0,4,11,0,0,3,2,1,68,2020-04-02
0,1,4,14,0,0,0,7,0,2,6,0,2,0,1,4,0,0,2,1,3,47,2020-04-03
1,1,3,19,2,0,0,4,0,0,0,0,1,6,0,7,4,0,3,4,1,56,2020-04-04
0,1,1,15,0,0,0,0,0,1,0,0,1,0,0,16,2,0,3,0,0,40,2020-04-05
0,1,0,14,1,1,3,3,0,1,2,0,1,7,1,15,0,0,4,4,2,60,2020-04-06
1,1,0,10,3,1,1,3,0,0,2,0,1,2,1,9,2,0,1,0,6,44,2020-04-07
1,0,2,12,1,0,1,6,0,0,0,0,1,9,0,41,0,0,2,4,1,81,2020-04-08
0,0,4,11,1,1,2,2,1,1,1,0,3,5,2,45,0,0,1,3,5,88,2020-04-09
0,0,2,7,2,2,0,2,0,0,0,0,0,3,3,11,0,0,1,4,2,39,2020-04-10
0,0,15,8,0,2,1,3,4,0,0,0,2,4,0,21,0,0,1,2,3,66,2020-04-11
0,0,7,5,1,0,1,1,6,0,9,0,2,2,2,13,0,0,1,0,0,50,2020-04-12
0,0,2,5,1,0,0,8,0,1,6,0,0,9,0,14,0,0,1,5,2,54,2020-04-13
1,0,1,3,1,0,3,4,1,0,2,0,1,1,1,15,0,0,0,0,3,37,2020-04-14
0,2,0,16,2,0,0,3,0,0,3,0,1,1,0,16,0,0,0,2,4,50,2020-04-15
